hip,ra,dec,mag,spect,con,proper,dist,bayer
19917,4.272486,-60.948482,6.34,Ap EuCr(Sr),Ret,,126.2626,
19921,4.274738,-59.302156,4.44,K2IV,Ret,,18.2382,Eps
19949,4.278638,53.611799,5.2,A2Vn,Cam,,100.2004,
19968,4.281542,61.849989,5.69,B5Vn,Cam,,136.7989,
19983,4.28558,57.860355,5.72,K1III,Cam,,79.8085,
19990,4.287684,20.578591,4.93,A3m,Tau,,28.9436,Ome-2
19996,4.288673,-6.472177,5.95,G8III:,Eri,,232.0186,
20020,4.294519,-63.255405,5.88,B+...,Ret,,141.2429,The
20039,4.297733,80.535783,6.39,K0,Cep,,319.4888,
20042,4.298237,-33.798348,3.55,B9V,Eri,,54.5554,Ups-4
20049,4.299776,-80.214033,5.67,K2/K3III+..,Men,,129.8701,Del
20063,4.302252,42.141159,6.22,B9V,Per,,121.3592,
20070,4.304056,50.295502,4.6,A2V,Per,,96.1538,
20075,4.304466,-20.71526,6.0,M4III,Eri,,462.963,
20087,4.306444,21.579297,5.64,F0V,Tau,,54.0541,
20106,4.310414,-22.969722,6.09,A3m...,Eri,,89.8473,
20109,4.311113,-52.860097,6.08,A8V+...,Dor,,72.0461,
20138,4.317469,-33.904617,6.36,A+...,Eri,,102.0408,
20156,4.320339,50.048695,5.46,A7V,Per,,74.4602,
20161,4.321301,-44.267919,5.33,K2III,Hor,,77.2798,
20171,4.323916,21.142307,5.5,B9IV,Tau,,82.7815,
20186,4.326862,21.773491,5.34,A0p Si,Tau,,100.0,
20188,4.32706,10.121437,6.31,K0,Tau,,210.9705,
20205,4.329889,15.627642,3.65,G8III,Tau,Prima Hyadum,49.5295,Gam
20219,4.332695,14.035201,5.58,F3V...,Tau,,45.7038,
20231,4.336097,31.953174,6.16,K5,Per,,225.2252,
20234,4.336531,50.920933,5.55,B1.5IV,Per,,332.2259,
20241,4.337341,41.80807,5.95,K0III,Per,,123.1527,
20250,4.339227,27.350754,4.97,K1III,Tau,,98.4252,Phi
20252,4.340178,34.566725,4.93,G8III,Per,,66.9344,
20255,4.340307,18.742608,6.11,F3:V...,Tau,,48.3092,
20261,4.343419,15.095453,5.26,F0V,Tau,,46.9484,
20263,4.344067,-6.245995,6.15,G8IV:,Eri,,61.2745,
20264,4.34417,-20.639622,5.38,A0V,Eri,,145.7726,
20266,4.344541,65.140441,5.26,G5III,Cam,,97.9432,
20268,4.34479,6.130798,5.76,G8III-IV,Tau,,110.6195,
20271,4.345232,-7.592493,5.85,B5III,Eri,,242.1308,
20284,4.347977,13.864427,6.15,F6V...,Tau,,47.4158,
20297,4.349455,-81.57992,5.78,F0/F2III,Men,,52.0562,Nu
20341,4.357511,-0.09817,5.86,K2,Eri,,143.0615,
20347,4.358698,-25.72858,6.08,F2V,Eri,,58.7544,
20354,4.359211,46.498878,4.8,B4IV,Per,,155.521,
20360,4.360421,-6.284172,6.45,A0,Eri,,210.5263,
20376,4.363227,60.735625,5.4,M0III,Cam,,136.7989,
20380,4.364392,56.506317,5.91,A3V,Cam,,96.9932,
20384,4.364796,-63.386391,5.24,G7III,Ret,,117.9245,Eta
20400,4.367643,14.077198,5.72,A3m,Tau,,44.3853,
20417,4.372981,20.821416,5.91,M0III,Tau,,714.2857,
20430,4.376373,25.629314,5.38,B9V,Tau,,89.2857,Chi
20455,4.382247,17.542514,3.77,G8III,Tau,Secunda Hyadum,47.7099,Del-1
20456,4.382758,59.616182,6.18,A4V,Cam,,142.0455,
20465,4.384909,-24.892157,5.81,K5III,Eri,,153.6098,
20467,4.385488,-35.544815,6.38,K1III,Eri,,282.4859,
20484,4.390294,16.77726,5.64,A1m,Tau,,49.9002,
20493,4.392324,20.982044,6.0,B8IV-V,Tau,,170.068,
20498,4.393281,42.427909,6.25,A1sp...,Per,,177.305,
20507,4.394681,-3.74547,5.17,A2V,Eri,,64.1026,Xi
20522,4.397729,9.460968,5.1,A3V,Tau,,121.3592,
20533,4.399934,24.300992,6.34,B3V,Tau,,278.5515,
20535,4.400613,-34.016846,3.97,K4III,Eri,Beemim,90.8265,
20542,4.401599,17.44413,4.8,A7V,Tau,,49.4805,Del-2
20552,4.403405,-57.071337,6.28,G4V+...,Dor,,27.7008,
20558,4.404023,12.157987,6.42,K0,Tau,,190.1141,
20579,4.408098,34.130758,5.73,B8V,Per,,137.3626,
20591,4.410404,33.959686,5.77,F4V,Per,,40.6174,
20614,4.415868,19.042013,5.97,F4V,Tau,,50.5306,
20619,4.418153,-61.238193,5.94,K4/K5III,Ret,,215.0538,
20630,4.421976,-44.160897,6.38,F6V,Cae,,36.8868,
20635,4.422822,22.293874,4.21,A7IV-V,Tau,,47.1921,Kap-1
20641,4.423614,22.199998,5.27,A7V,Tau,,45.3926,Kap-2
20648,4.424828,17.92791,4.3,A2IV,Tau,,45.5373,Del-3
20661,4.427032,15.94101,6.44,F7V,Tau,,47.1698,
20698,4.433708,4.373451,6.37,K0,Tau,,217.8649,
20704,4.435084,31.438911,5.29,K1III,Per,,77.6398,
20711,4.438461,22.813583,4.28,A8Vn,Tau,,47.1476,Ups
20713,4.439094,15.618265,4.48,F0V...,Tau,,49.0918,
20715,4.439195,8.590269,6.06,B6IV,Tau,,198.0198,
20732,4.443437,14.713782,4.69,G8III,Tau,,127.7139,Pi
20765,4.449147,-24.081323,6.11,A3V,Eri,,97.6562,
20771,4.450194,2.079409,6.23,K1III,Tau,,105.3741,
20772,4.450241,57.58529,6.28,A0III,Cam,,228.3105,
20776,4.450806,80.824159,5.42,G6III:,Cep,,296.7359,
20781,4.451654,-46.947505,6.1,F8V,Cae,,33.1345,
20789,4.454847,22.996337,5.53,B7V,Tau,,115.8749,
20804,4.457991,11.2123,5.87,B8IV,Tau,,180.1802,
20825,4.462788,-62.521206,5.74,K0III,Ret,,109.7695,
20842,4.466883,21.619907,5.72,Am,Tau,,47.1254,
20848,4.467677,1.858605,6.14,G9III,Tau,,94.2507,
20856,4.469296,-41.959833,6.41,M1III,Cae,,364.9635,
20860,4.470359,83.80779,5.51,B5V,Cep,,232.0186,
20873,4.473167,14.740974,5.9,F0IV,Tau,,57.5705,
20877,4.473992,16.359672,4.96,K2IIIvar,Tau,,57.241,
20884,4.475589,1.380821,5.53,B3V,Tau,,117.3709,
20885,4.476248,15.962181,3.84,G7III,Tau,,47.3261,The-1
20889,4.476943,19.180431,3.53,K0III,Tau,Ain,44.964,Eps
20892,4.47751,-19.458874,5.95,K2III,Eri,,94.518,
20894,4.477705,15.870883,3.4,A7III,Tau,Chamukuy,46.1042,The-2
20901,4.480601,13.047602,5.02,A7V,Tau,,48.852,
20904,4.481108,30.361492,6.38,F7V,Tau,,51.5996,
20922,4.485257,-13.04837,5.61,B2V:ne,Eri,,465.1163,
20934,4.488909,-46.51527,6.13,K1III,Cae,,122.549,
20982,4.500159,83.340379,5.47,G8III,Cep,,94.2507,
20985,4.500636,10.262214,6.47,G8III,Tau,,119.4743,
20995,4.502388,15.63784,5.58,F0V...,Tau,,45.8295,
20997,4.502779,-13.592372,6.22,K0III,Eri,,143.6782,
21029,4.509342,16.194014,4.78,A6IV,Tau,,43.1965,
21036,4.510378,13.724402,5.4,F0V,Tau,,45.208,
21038,4.510669,32.457768,6.18,B9.5Vn,Per,,115.0748,
21039,4.510802,15.691879,5.47,Am,Tau,,44.9236,
21042,4.511203,-35.653504,5.95,K0II,Eri,,120.4819,
21053,4.512998,16.148696,6.5,F5V,Tau,,41.511,
21060,4.513916,-44.953749,5.07,B2IV-V,Cae,,215.9827,Del
21082,4.518664,15.105037,6.28,M3III,Tau,,167.7852,
21108,4.523361,40.010193,6.25,B8V,Per,,369.0037,
21110,4.523848,-13.644222,6.25,A2/A3V,Eri,,112.8668,
21137,4.531043,15.85156,6.01,F4V...,Tau,,45.1671,
21139,4.531296,-0.044011,4.91,K3II-III,Eri,,201.2072,
21144,4.532485,36.742688,6.35,G5,Per,,116.0093,
21148,4.533845,53.91083,5.78,B0III SB,Cam,,100000.0,
21152,4.534669,5.410035,6.37,F5V,Tau,,43.4972,
21192,4.543765,-3.209541,5.76,B9III,Eri,,145.7726,
21239,4.556135,-10.785333,6.06,K0,Eri,,227.7904,
21242,4.556917,43.063893,6.09,F0V,Per,,59.1716,
21247,4.558511,72.528605,5.94,A8m,Cam,,101.7294,
21248,4.55849,-29.766492,4.49,K0III,Eri,,38.956,Ups-1
21251,4.55918,18.016722,6.24,B9IVn,Tau,,134.2282,
21253,4.559453,-62.823677,5.79,K1III,Ret,,45.1467,
21269,4.563382,9.413567,6.01,G8III,Tau,,170.9402,
21273,4.564143,14.844424,4.65,A8V,Tau,,48.5201,Rho
21278,4.565202,-6.738908,5.71,B9p Si,Eri,,253.8071,
21281,4.566598,-55.044975,3.3,A0V:,Dor,,51.7063,Alp
21295,4.568963,5.568616,5.67,A2Vs,Tau,,148.5884,
21296,4.569897,-8.231352,5.2,M3III,Eri,,304.878,
21297,4.569936,-8.970258,5.24,K4III,Eri,,233.1002,
21298,4.570609,-6.837809,6.09,K2III,Eri,,219.7802,
21323,4.57722,28.96115,5.88,B9p...,Tau,,148.8095,
21324,4.577261,-24.0405,6.37,K1III,Eri,,113.1222,
21363,4.58353,-19.921384,6.12,K2IIICN...,Eri,,108.6957,
21393,4.592512,-30.562341,3.81,G8III,Eri,Theemin,65.5738,Ups-2
21402,4.594239,10.16079,4.25,A5m,Tau,,47.8927,
21408,4.595156,19.881791,6.33,G5II-III+..,Tau,,133.8688,
21421,4.598677,16.509301,0.87,K5III,Tau,Aldebaran,20.4332,Alp
21428,4.600465,-3.611641,6.34,B7III,Eri,,251.2563,
21444,4.605317,-3.352459,3.93,B2III SB,Eri,,207.0393,Nu
21452,4.606727,64.261602,5.91,A1V,Cam,,135.1351,
21459,4.608092,23.340855,6.01,F5IV,Tau,,47.5285,
21476,4.611508,41.264808,4.25,G8II comp,Per,,244.4988,
21479,4.612677,-62.077154,5.59,M8e,Dor,,54.615,
21486,4.614148,-30.716779,6.28,Ap...,Eri,,127.3885,
21515,4.620465,0.998314,5.32,B7V,Tau,,261.0966,
21517,4.620772,18.543031,6.49,F5Ib,Tau,,416.6667,
21525,4.622017,-41.872944,6.4,A3Vs...,Cae,,118.7648,
21547,4.626703,-2.473548,5.22,F0V,Eri,,29.4291,
21588,4.635956,16.033291,5.78,F0V,Tau,,49.8256,
21589,4.635961,12.510838,4.27,A6V,Tau,,47.081,
21594,4.63634,-14.30402,3.86,K1III,Eri,Sceptrum,33.6814,
21604,4.637731,20.684722,5.85,B8V,Tau,,101.1122,
21611,4.639372,-77.656003,6.05,K2III,Men,,157.7287,
21644,4.64821,-12.123121,4.99,A0V,Eri,,71.3267,
21666,4.651194,-51.672752,6.45,K2III,Pic,,214.1328,
21670,4.65171,7.870976,5.38,A5m,Tau,,49.1642,
21673,4.65256,15.799846,5.08,A4m,Tau,,45.0857,Sig-1
21683,4.654583,15.917977,4.67,A5Vn,Tau,,47.6872,Sig-2
21685,4.655475,-14.359192,5.46,K0III,Eri,,60.1323,
21689,4.65643,25.218274,6.21,A5Vn,Tau,,106.2699,
21718,4.663117,-1.052459,6.11,K0,Eri,,219.7802,
21727,4.66519,53.079535,5.07,K0III SB,Cam,,129.5337,
21730,4.666126,53.473021,5.36,A8V,Cam,,44.4642,
21735,4.667616,12.197609,5.45,B8IV,Tau,,127.7139,
21743,4.668557,-24.482368,5.56,G6/G8III,Eri,,107.4114,
21763,4.674031,-19.671493,4.32,M3/M4III,Eri,,112.9944,
21770,4.676039,-41.863752,4.44,F2V,Cae,,20.1654,Alp
21819,4.688822,28.614994,5.73,A2V,Tau,,116.9591,
21823,4.690032,48.300881,5.66,A0V,Per,,90.9091,
21847,4.697283,38.280182,5.97,G0V,Per,,31.8674,
21861,4.700965,-37.144297,5.04,F3V,Cae,,28.6697,Bet
21881,4.704084,22.956926,4.27,B3V,Tau,,122.1001,Tau
21914,4.712899,-50.481334,5.3,K0/K1III,Pic,,114.8106,Lam
21928,4.715089,43.365138,5.3,A1Vn,Per,,73.9645,
21949,4.717764,-70.931027,5.53,B9IV,Men,,150.6024,Mu
21958,4.719249,-30.765557,5.66,K3III,Cae,,196.8504,
21961,4.720488,24.08892,6.18,F7IV-V,Tau,,48.2625,
21972,4.722665,49.973789,5.86,B9III,Per,,209.6436,
21986,4.726318,-8.794317,5.98,F4IIIp (Sr),Eri,,653.5948,
21998,4.728964,-41.064788,6.24,K3/K4III,Cae,,226.7574,
22003,4.730068,32.865459,6.49,A8V,Aur,,60.2047,
22024,4.734811,-8.503571,5.78,B2Ve,Eri,,100000.0,
22028,4.73555,-18.666586,5.53,A1V,Eri,,93.8086,
22034,4.736949,40.786454,6.09,B8IVn,Per,,187.6173,
22040,4.739205,-59.732733,5.28,A8/A9III/IV,Dor,,67.0241,Kap
22044,4.740508,11.146137,5.39,F0V,Ori,,45.8295,
22081,4.749419,-63.229715,6.46,K0/K1III,Dor,,148.8095,
22086,4.751156,-21.283383,5.72,K4III,Eri,,218.3406,
22109,4.758375,-3.254657,4.01,B5IV,Eri,,160.0,Mu
22128,4.761796,23.627996,6.34,B5III,Tau,,210.5263,
22144,4.765406,-39.356619,6.04,K1III,Cae,,97.2763,
22152,4.766786,76.611042,6.46,F7V,Cam,,32.3206,
22157,4.76715,11.705591,5.35,Am...,Ori,,72.1501,
22176,4.771341,18.734693,5.99,K4III,Tau,,80.1925,
22189,4.773379,-2.954532,6.33,A2V,Ori,,99.108,
22192,4.773819,-28.087444,6.18,A2IV/V,Eri,,56.1798,
22220,4.779021,40.31259,5.99,G9III,Per,,132.8021,
22263,4.793413,-16.934456,5.49,G3V,Eri,,13.2767,
22280,4.797104,-30.020372,6.35,K0III,Cae,,131.7523,Zet
22287,4.800069,56.757183,5.29,A3m,Cam,,52.7704,
22300,4.801942,55.602611,6.32,F0,Cam,,52.356,
22325,4.809037,-16.329484,5.76,F8V,Eri,,41.7188,
22336,4.810107,-5.674045,5.77,F8V,Eri,,26.4201,
22354,4.812396,3.588526,6.04,K1III,Ori,,210.5263,
22361,4.813968,75.941219,5.96,A9IV,Cam,,47.0588,
22393,4.820235,31.437375,5.57,K2III,Aur,,65.8328,
22407,4.821965,32.588191,5.84,A8m,Aur,,83.7521,
22439,4.828402,-13.769669,6.27,F3/F5V,Eri,,33.8066,
22441,4.828912,15.904221,6.09,K3III,Tau,,333.3333,
22449,4.830669,6.961276,3.19,F6V,Ori,Tabit,8.0684,Pi-3
22453,4.831846,37.488275,4.89,K4II,Per,,154.321,
22479,4.83656,-16.217159,5.03,K0III,Eri,,72.3066,
22488,4.837828,-41.320848,6.06,F1III-IV,Cae,,52.5486,
22508,4.843441,70.941528,6.36,A0IV,Cam,,207.0393,
22509,4.843534,8.900176,4.35,A1Vn,Ori,,68.8231,Pi-2
22531,4.848706,-53.461508,5.58,F0IV...,Pic,,41.5628,Iot
22534,4.849036,-53.459698,6.42,F0IV,Pic,,38.5356,Iot
22545,4.852594,48.740685,5.64,G9III,Aur,,97.1817,
22549,4.853434,5.605104,3.68,B2III SB,Ori,,322.5806,Pi-4
22565,4.856239,18.839861,5.08,A7IV-V,Tau,,51.2558,
22573,4.857837,-34.906286,5.82,A2/A3V,Cae,,82.1693,
22597,4.862051,9.975078,6.11,B5V,Ori,,186.9159,
22607,4.863885,13.655155,6.3,F5,Ori,,40.7166,
22626,4.868109,63.505421,5.47,M2III,Cam,,152.9052,
22667,4.875545,14.250642,4.71,M3Sv,Ori,,199.6008,Omi-1
22678,4.877218,36.703187,4.79,K3III,Aur,,184.5018,
22697,4.879754,27.897485,5.97,F2IV,Tau,,106.383,
22699,4.879933,42.586626,5.68,A3III,Aur,,138.8889,
22701,4.881575,-5.452695,4.36,A9IV,Eri,,72.0461,Ome
22717,4.884919,-72.40768,6.28,F8V,Men,,32.4465,
22720,4.886052,52.841155,6.4,A2V,Cam,,137.3626,
22730,4.889659,2.508225,5.33,M1III,Ori,,181.1594,
22737,4.891803,-66.675413,6.43,M0/M1III,Dor,,366.3004,
22783,4.900836,66.342678,4.26,O9.5Ia SB:,Cam,,100000.0,Alp
22797,4.904193,2.440672,3.71,B2III SB,Ori,,411.5226,Pi-5
22833,4.913027,11.426006,5.18,A3V,Ori,,69.979,
22834,4.913273,7.779097,5.33,K1III,Ori,,147.7105,
22840,4.914086,0.467167,5.98,B5V,Ori,,222.2222,
22842,4.914233,44.060861,6.06,A0V,Aur,,95.6023,
22844,4.914717,-58.547652,6.11,F3V,Dor,,30.4044,
22845,4.914924,10.150833,4.64,A0V,Ori,,35.6633,Pi-1
22847,4.915226,-39.628607,6.11,K3III,Cae,,377.3585,
22850,4.916211,19.485388,6.36,F3IV,Tau,,64.3501,
22854,4.917537,55.259109,5.52,B9.5V,Cam,,190.1141,
22860,4.918562,-16.74067,5.71,G8/K0III,Eri,,145.1379,
22871,4.919765,-74.936852,5.47,K6III,Men,,204.918,Eta
22881,4.921847,-16.417767,5.71,G6/G8III,Eri,,85.3242,
22913,4.930598,15.040278,5.79,B9V,Ori,,111.4827,
22923,4.932875,5.399024,6.5,A0V,Ori,,131.0616,
22936,4.935299,52.869761,5.75,A2Vs,Cam,,129.7017,
22938,4.935825,7.904696,6.42,F5,Ori,,59.9161,
22949,4.937661,24.592218,6.33,F0,Tau,,42.6985,
22955,4.938913,36.168537,6.1,B2Ib,Aur,,100000.0,
22957,4.939521,13.514466,4.06,K2III,Ori,,57.0125,Omi-2
22958,4.940052,-5.171356,5.5,B6V,Eri,,227.2727,
23015,4.949894,33.16609,2.69,K3IIvar,Aur,Hassaleh,151.2859,Iot
23041,4.954775,-1.067258,6.25,F2,Ori,,84.3882,
23040,4.95478,53.752101,4.43,A1V,Cam,,114.0251,
23043,4.956206,17.153677,5.51,K1III,Tau,,146.1988,
23060,4.962412,-14.23192,6.15,B2V,Eri,,416.6667,
23068,4.963513,23.948562,5.79,G8III:,Tau,,139.6648,
23088,4.969275,25.050405,5.79,A0V,Tau,,87.184,
23092,4.969698,-2.212738,6.34,A2V,Ori,,133.3333,
23123,4.975806,1.714016,4.47,K2IIvar,Ori,,289.8551,Pi-6
23148,4.980829,-82.470512,5.84,G8III,Men,,113.1222,Xi
23161,4.98317,14.54324,6.14,B7V,Ori,,349.6503,
23166,4.983713,-16.376027,5.65,F5V,Lep,,40.4694,
23179,4.987612,37.890245,4.93,A1V,Aur,,52.2739,Ome
23216,4.996204,53.155451,6.09,K4III,Cam,,176.3668,
23221,4.997348,-10.263325,5.39,G4V,Eri,,53.9665,
23231,4.998816,-12.537416,4.78,F0V,Eri,,88.968,
23251,5.003688,-78.300009,6.29,K5/M0III,Men,,273.9726,
23261,5.005095,39.394701,5.95,F5V,Aur,,59.7372,
23265,5.005755,81.194088,5.09,K3III,Cep,,117.7856,
23268,5.006449,39.654653,6.46,K4Iab:,Aur,,336.7003,
23296,5.011058,-2.066032,6.31,A8IV,Ori,,49.6032,
23311,5.013611,-5.753675,6.22,K3V,Eri,,8.7078,
23362,5.023772,-20.051918,4.91,B9V,Lep,,60.6796,
23364,5.023985,-7.173965,4.8,B3V,Eri,,226.7574,Psi
23377,5.026257,-39.718046,6.02,G8III,Cae,,111.8568,
23380,5.026676,61.077996,6.03,F4V,Cam,,35.5999,
23408,5.030654,0.722112,5.91,K0,Ori,,145.1379,
23416,5.032815,43.823308,3.03,F0Ia,Aur,Almaaz,653.5948,Eps
23419,5.03334,1.608865,6.45,B8V,Ori,,187.2659,
23430,5.03606,-26.275029,5.01,K1III,Lep,,71.4796,
23442,5.038832,74.269368,6.05,K5III,Cam,,208.7683,
23446,5.039668,-31.771333,5.92,K2III,Cae,,95.511,
23453,5.041301,41.075837,3.69,K4II comp,Aur,Saclateni,240.9639,Zet
23467,5.045279,-71.3143,5.3,G8III,Men,,243.309,Bet
23474,5.045828,-22.795052,5.74,K1IV,Lep,,143.472,
23475,5.045943,-4.210121,5.86,K3,Eri,,91.9118,
23482,5.046861,-49.151407,5.37,F2V,Pic,,26.0756,Eta-1
23484,5.047327,66.822974,6.2,F6V:,Cam,,27.7624,
23497,5.051596,21.589962,4.62,A7V,Tau,,52.9661,Iot
23511,5.055177,41.441646,6.11,A2sh,Aur,,609.7561,
23522,5.05697,60.442245,4.03,G0Ib,Cam,,267.3797,Bet
23551,5.064479,-14.370231,6.42,B2IV,Lep,,568.1818,
23554,5.064797,-24.388151,5.61,A2IV,Lep,,58.1734,
23555,5.064986,-41.74495,6.3,F8V,Cae,,31.746,
23582,5.070216,73.763887,6.21,K0,Cam,,473.9336,
23583,5.070712,30.494588,6.14,K0II-III,Aur,,180.8318,
23589,5.072663,21.277931,6.2,K0,Tau,,148.5884,
23595,5.07344,-35.482978,4.55,K2III,Cae,,55.5864,Gam-1
23596,5.073931,-35.705109,6.32,F2IV/V,Cae,,98.3284,Gam-2
23607,5.076153,15.404105,4.65,A0p Si,Ori,,111.9821,
23617,5.077683,74.066955,6.1,A1V,Cam,,171.2329,
23643,5.081813,-3.039675,6.04,B5IV,Ori,,357.1429,
23649,5.082776,-49.577837,5.05,M2IIIvar,Pic,,136.0544,Eta-2
23653,5.083502,-54.407401,6.26,M2III,Pic,,253.1646,
23668,5.087832,-26.152391,5.71,K2III,Lep,,76.2195,
23680,5.089921,1.177627,6.1,N5,Ori,,377.3585,
23685,5.091018,-22.371032,3.19,K4III,Lep,,65.4022,Eps
23693,5.091853,-57.472704,4.71,F7V,Dor,,11.6455,Zet
23695,5.09225,19.806723,6.48,A5m,Tau,,137.741,
23724,5.100256,35.936388,6.49,A5V,Aur,,105.5966,
23734,5.102349,58.972372,5.22,B2.5Ve,Cam,,210.084,
23737,5.102575,-73.037673,6.26,A0V,Men,,134.9528,
23743,5.103372,59.02134,6.08,K0III,Cam,,218.8184,
23766,5.108245,61.169756,6.0,K5II,Cam,,143.8849,
23767,5.10858,41.234474,3.18,B3V,Aur,Haedus,74.6269,Eta
23777,5.110206,-13.122622,6.04,B9.5/A0IV,Lep,,113.6364,
23783,5.111289,51.59772,4.98,F0V,Aur,,26.2881,
23794,5.112681,-4.655163,5.12,B9.5V,Eri,,94.697,
23799,5.113766,43.174705,6.2,F2IIp...,Aur,,238.0952,
23818,5.119376,-19.391868,6.47,G2V,Lep,,38.432,
23831,5.1236,-12.491269,5.97,G2V,Lep,,36.6972,
23835,5.124164,18.645052,4.91,G4V,Tau,,15.4345,
23840,5.126116,-63.399679,5.19,M3III,Dor,,173.3102,
23852,5.127309,9.47178,6.15,G1IV,Ori,,27.6702,
23871,5.130111,20.418379,5.28,A5V,Tau,,58.1058,
23874,5.130502,-12.592658,6.33,M1III,Lep,,257.0694,
23875,5.130829,-5.086446,2.78,A3IIIvar,Eri,Cursa,27.3973,Bet
23879,5.131359,8.498429,5.33,Am,Ori,,64.6412,
23883,5.132066,21.704821,5.84,B2Ve,Tau,,331.1258,
23900,5.135173,24.265175,5.5,B2V...,Tau,,458.7156,
23908,5.137016,-15.095354,6.38,K1III + F/G,Lep,,208.7683,
23916,5.138942,-8.665324,5.8,B8V,Eri,,208.7683,
23941,5.145472,-4.456207,5.11,F2V,Eri,,25.4582,
23972,5.15244,-8.754081,4.25,B2IVn,Eri,,248.7562,Lam
23983,5.155456,9.829579,5.43,A2m,Ori,,54.7046,
24003,5.160181,69.639401,6.43,K1III,Cam,Mago,120.6273,
24010,5.161654,15.597232,4.81,F2IV,Ori,,165.0165,
24017,5.162367,64.91949,6.37,F3V:,Cam,,39.8248,
24019,5.162524,28.030461,5.93,A5m,Tau,,52.6039,
24041,5.167573,-0.565323,6.11,K0III,Ori,,99.7009,
24072,5.171891,37.301854,6.02,B2II: comp,Aur,,485.4369,
24109,5.178585,46.96207,5.67,F5V,Aur,,48.6855,
24114,5.179053,-25.910463,6.4,K1III/IV,Lep,,232.0186,
24130,5.182785,-2.254114,6.24,G8III,Ori,,46.7946,
24162,5.18866,-2.490782,5.89,F5V,Ori,,37.6223,
24169,5.189686,-11.849089,5.6,M6.2III,Lep,,149.0313,
24193,5.193976,29.90358,6.42,M2III,Aur,,321.5434,
24197,5.194879,16.045673,5.18,K5III,Ori,,105.2632,
24203,5.195931,1.037028,5.88,F5,Ori,,195.3125,
24244,5.204973,-11.869219,4.45,B8V,Lep,,71.0732,Iot
24254,5.206237,73.946674,5.44,B9p Si,Cam,,115.8749,
24294,5.213369,-6.05719,5.9,G7III,Ori,,143.8849,
24305,5.215528,-16.205468,3.29,B9IV: HgMn,Lep,,57.0125,Mu
24313,5.217451,61.85004,6.17,A2III,Cam,,131.7523,
24327,5.220522,-12.941291,4.36,B7V,Lep,,223.2143,Kap
24331,5.221523,2.861265,4.46,K3III...,Ori,,107.2961,Rho
24332,5.221519,37.337309,6.48,F8,Aur,,26.1165,
24340,5.223811,38.484498,4.82,A4m,Aur,,46.9043,Mu
24348,5.225353,62.691132,6.49,A7Vn,Cam,,79.3021,
24349,5.225432,1.967684,6.08,A5V,Ori,,212.3142,
24372,5.229288,-67.185255,4.81,K2III,Dor,,150.6024,The
24377,5.229793,0.560423,6.33,M0V,Ori,,307.6923,
24384,5.231482,-52.030755,6.03,K3III,Pic,,189.0359,
24394,5.233319,-14.606872,6.22,A9II/III,Lep,,76.746,
24426,5.241346,-35.976996,5.75,G8III,Col,,152.439,
24436,5.242298,-8.20164,0.18,B8Ia,Ori,Rigel,264.5503,Bet
24440,5.243205,76.472761,6.36,A0V,Cam,,132.626,
24450,5.245569,5.156151,5.5,K4III,Ori,,149.0313,
24451,5.245631,53.213949,6.16,A0V,Aur,,100000.0,
24479,5.253164,59.405687,6.15,K2III-IV,Cam,,109.0513,
24493,5.255139,-1.40904,6.15,F0IV,Ori,,46.9043,
24505,5.25677,-26.943509,5.06,B9V,Lep,,85.2515,
24504,5.256777,32.6876,5.01,A9IV,Aur,,87.5657,
24507,5.256908,-73.588475,6.49,A6V,Men,,111.4827,
24512,5.257682,22.284858,6.26,A2V,Tau,,214.5923,
24520,5.26078,-52.182179,6.48,K2III,Pic,,232.5581,
24555,5.267815,11.341354,5.52,A0V,Ori,,135.8696,
24560,5.2696,-11.352553,6.45,G0,Lep,,228.3105,
24575,5.271708,34.312317,5.99,O9.5Vvar,Aur,,574.7126,
24607,5.278067,1.947328,6.42,A0V,Ori,,166.6667,
24608,5.27815,45.997991,0.08,M1: comp,Aur,Capella,13.1234,Alp
24659,5.291411,-34.895207,4.81,K0/K1III/IV,Col,,32.4465,Omi
24674,5.293442,-6.844409,3.59,B5III,Ori,,151.5152,Tau
24679,5.294512,-13.519826,5.48,G8IV,Lep,,49.0196,
24727,5.302935,33.371613,4.54,K3III...,Aur,,71.2251,
24732,5.30368,73.268071,5.81,A0V,Cam,,111.2347,
24738,5.304359,42.792111,5.55,M4III,Aur,,172.7116,
24740,5.305249,33.767348,6.15,B9.5V,Aur,,122.1001,
24771,5.311201,40.465124,6.22,K0,Aur,,223.7136,
24786,5.314017,-18.13005,5.96,G0V,Lep,,25.025,
24799,5.316674,33.748394,5.38,A0p...,Aur,,126.7427,
24813,5.318995,40.099051,4.69,G0V,Aur,,12.631,Lam
24817,5.319783,2.595806,5.34,F5IIvar,Ori,,61.9579,
24820,5.320748,20.134596,6.12,G8III+...,Tau,,120.3369,
24822,5.321278,22.096494,4.96,G8III,Tau,,75.815,
24825,5.32151,-18.519919,6.37,B5IV/V,Lep,,263.1579,
24829,5.322813,-50.605967,5.44,F7III-IV,Pic,,35.7143,Zet
24831,5.323246,-27.368884,5.98,A0V,Col,,134.0483,
24832,5.323261,33.985421,6.49,A7V,Aur,,68.5871,
24836,5.324404,58.117365,6.13,B5V,Cam,,240.9639,
24845,5.326257,-13.176788,4.29,B0.5IV,Lep,,261.0966,Lam
24847,5.326468,-1.411892,6.33,B1.5Vn,Ori,,219.2982,
