hip,ra,dec,mag,spect,con,proper,dist,bayer
1354,0.282513,61.533185,5.74,G8III,Cas,,190.1141,
1366,0.284863,38.681636,4.61,A2V,And,,94.697,The
1372,0.285845,47.947405,5.86,B7III,Cas,,343.6426,
1402,0.292417,-19.051092,6.46,F3V,Cet,,48.4966,
1415,0.295295,51.43309,6.11,O9IIInn,Cas,,735.2941,
1421,0.296583,1.688727,6.19,K0II,Psc,,117.3709,
1465,0.304791,11.206214,6.07,K0III,Psc,,153.8462,
1473,0.305463,36.785224,4.51,A2V,And,,41.3223,Sig
1493,0.310625,31.517227,5.88,A0IV,And,,166.6667,
1499,0.311629,-8.053001,6.47,G0V,Cet,,23.245,
1501,0.311712,43.791141,6.1,B8V,And,,202.8398,
1502,0.31182,-43.235571,6.33,K2III,Phe,,112.4859,
1562,0.323799,-8.823921,3.56,K2III,Cet,,84.1751,Iot
1575,0.328212,40.729461,6.35,K1III,And,,175.1313,
1599,0.334142,-64.874791,4.23,F9V,Tuc,,8.5866,Zet
1630,0.340111,30.935614,5.89,B7V,And,,159.7444,
1639,0.341924,48.968633,6.46,G0,Cas,,218.3406,
1645,0.343295,8.190271,5.38,K3III,Psc,,125.0,
1647,0.344178,-69.624913,5.5,B9V,Tuc,,97.561,Pi
1657,0.345978,32.911186,5.79,K5III,And,,191.9386,
1686,0.352017,37.968603,5.16,F5III,And,,48.5437,Rho
1706,0.357986,-77.426873,5.96,K3III,Hyi,,174.8252,
1708,0.358665,-28.981469,5.18,K0III,Scl,,101.3171,Iot
1728,0.362853,-20.058024,5.61,M5/M6Ib/II,Cet,,270.2703,
1772,0.373745,13.482488,6.25,K3III,Psc,,153.8462,
1803,0.381051,-12.209438,6.39,G3V,Cet,,20.8638,
1821,0.384554,-15.942556,6.43,M0III,Cet,,337.8378,
1921,0.404348,52.019914,5.58,B5IV,Cas,,306.7485,
1939,0.408236,-2.219064,6.08,K1III,Psc,,151.7451,
1948,0.410599,14.315514,6.48,K0,Psc,,180.5054,
1960,0.413193,61.831057,5.38,B9III,Cas,,215.0538,
1982,0.418445,53.046786,5.72,B9IV,Cas,,158.2278,
2006,0.423391,1.939692,5.77,G5III,Psc,,144.0922,
2021,0.427916,-77.254247,2.82,G2IV,Hyi,,7.4588,Bet
2072,0.436716,-43.679829,3.93,A7V,Phe,,23.8095,Kap
2081,0.438056,-42.305981,2.4,K0III...,Phe,Ankaa,25.974,Alp
2086,0.439375,-18.693632,6.24,M1III,Cet,,483.0918,
2100,0.443726,-0.049533,6.16,G8III,Cet,,138.3126,
2159,0.454085,-25.54717,5.99,K0III,Scl,,176.0563,
2178,0.45863,16.025483,6.44,A5,Psc,,117.2333,
2210,0.465472,-33.007167,4.86,M2/M3III,Scl,,138.5042,Eta
2213,0.466241,19.514039,6.4,K0,Psc,,172.117,
2219,0.467475,17.893125,5.01,M3IIIvar,Psc,,162.0746,
2224,0.470195,16.445065,6.05,K5III,Psc,,233.6449,
2225,0.470454,44.394452,5.18,A2Vs,And,,86.6551,
2235,0.472236,10.189848,6.05,F6Vawvar,Psc,,36.5497,
2237,0.472528,-20.335051,6.44,G3V,Cet,,32.1958,
2240,0.474027,-39.915002,5.42,M0III,Phe,,115.2074,
2256,0.478632,-50.532859,6.26,K0III,Phe,,125.3133,
2270,0.482406,36.899694,6.28,G5III,And,,162.0746,
2337,0.497748,-14.864109,6.15,F2/F3V,Cet,,42.7533,
2353,0.500655,-3.957332,5.72,M0III,Cet,,173.913,
2355,0.502045,29.751557,5.2,A7III,And,,62.7746,
2377,0.505534,59.977554,5.94,B9IIIn,Cas,,235.8491,
2381,0.506293,-23.78768,5.17,A3V,Cet,,53.1067,
2383,0.507242,-48.21491,5.67,F2V,Phe,,43.0849,
2388,0.507729,-40.939586,6.18,F2III,Phe,,129.5337,
2422,0.51511,77.019404,6.18,K0IV,Cas,,38.506,
2472,0.523594,-48.803514,4.76,A0V,Phe,,52.9661,Lam-1
2474,0.52367,66.519617,6.18,B6V,Cas,,233.1002,
2475,0.523787,33.581642,5.88,K1III...,And,,116.144,
2484,0.525725,-62.958218,4.36,B9V,Tuc,,41.4079,Bet-1
2487,0.525946,-62.965561,4.53,A2V,Tuc,,51.6529,Bet-2
2497,0.528105,52.839526,5.59,K2III,Cas,,116.8224,
2505,0.529539,54.522289,4.74,B8Vn,Cas,,115.7407,Lam
2548,0.539939,6.955463,5.69,B9.5V,Psc,,80.9717,
2568,0.543189,20.294316,5.38,K0III,Psc,,80.0,
2578,0.545512,-63.0315,5.07,A0V,Tuc,,45.5581,Bet-3
2583,0.546969,28.280241,6.26,G8II,And,,158.4786,
2599,0.549997,62.931783,4.17,B1Ia,Cas,,100000.0,Kap
2611,0.552879,54.894985,5.93,K0III,Cas,,114.1553,
2628,0.55534,70.981843,6.41,A0Vn,Cas,,151.7451,
2629,0.556463,-71.266246,6.11,A7IV,Tuc,,130.039,The
